period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share,State,City,Property_Type
2019-01-31,0.95131995,40.11125655,8.74029632,1239196986.0,2.69819414,0.00441268,30.0,16.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.7,FL,Miami,Mall
2019-02-28,0.95001413,40.11125655,8.74029632,1239196986.0,2.69819414,0.00441268,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.72,FL,Miami,Mall
2019-03-31,0.95001413,40.11125655,8.75553493,1239196986.0,2.70443,0.00441268,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.94,FL,Miami,Mall
2019-04-30,0.95001413,40.11125655,8.75553493,1239196986.0,2.70443,0.00572711,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.77,FL,Miami,Mall
2019-05-31,0.95001413,40.11125655,8.75553493,1239196986.0,2.70443,0.00572711,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.89,FL,Miami,Mall
2019-06-30,0.95001413,40.11125655,8.75553493,1239196986.0,2.70443,0.00542534,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.67,FL,Miami,Mall
2019-07-31,0.95001413,40.11125655,8.75553493,1239196986.0,2.70443,0.00542534,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.25,FL,Miami,Mall
2019-08-31,0.95206087,40.31507329,8.9276117,1503129558.0,2.88236026,-0.00649542,29.0,17.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.87,FL,Miami,Mall
2019-09-30,0.95206087,40.31507329,8.9276117,1503129558.0,2.88236026,-0.00649542,29.0,17.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,4.46,FL,Miami,Mall
2019-10-31,0.952,40.31507329,8.9276117,1503129558.0,2.88236026,0.00731525,29.0,17.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.93,FL,Miami,Mall
2019-11-30,0.952,40.31507329,8.9276117,1503129558.0,2.88236026,0.00731525,29.0,17.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.86,FL,Miami,Mall
2019-12-31,0.952,40.31507329,8.9276117,1503129558.0,2.88236026,0.00731525,29.0,17.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,3.83,FL,Miami,Mall
2020-01-31,0.95205863,40.31507329,8.9276117,1503129558.0,2.88236026,0.01557411,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,3.82,FL,Miami,Mall
2020-02-29,0.95398047,40.31507329,8.9276117,1503129558.0,2.88236026,0.01557411,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,4.31,FL,Miami,Mall
2020-03-31,0.95398047,40.31507329,8.9276117,1503129558.0,2.88236026,0.01557411,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,5.12,FL,Miami,Mall
2020-04-30,0.9571059,40.31507329,8.9276117,1503129558.0,2.88236026,0.01646554,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,11.25,FL,Miami,Mall
2020-05-31,0.9571059,40.31507329,8.9276117,1503129558.0,2.88236026,-0.13615871,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,11.19,FL,Miami,Mall
2020-06-30,0.9571059,40.31507329,8.9276117,1503129558.0,2.88236026,-0.13615871,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,9.67,FL,Miami,Mall
