period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share
2019-01-31,0.89709592,38.69631519,13.32467253,85858812.0,1.95083517,0.019171,38.0,8.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,0.36
2019-02-28,0.895,38.69631519,13.32467253,85858812.0,1.95083517,0.019171,38.0,12.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,0.59
2019-03-31,0.895,38.69631519,13.257196,85858812.0,1.93804409,0.019171,38.0,12.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,0.65
2019-04-30,0.895,38.69631519,13.257196,85858812.0,1.93804409,0.018369,38.0,12.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,0.71
2019-05-31,0.895,38.69631519,13.257196,85858812.0,1.93804409,0.018369,38.0,12.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,1.2
2019-06-30,0.895,38.69631519,13.257196,85858812.0,1.93804409,0.01746168,38.0,12.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,1.35
2019-07-31,0.895,38.69631519,13.257196,85858812.0,1.93804409,0.01746168,38.0,12.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,0.93
2019-08-31,0.9130815,39.00775567,13.48297905,92946786.0,2.37702748,0.00515881,32.0,7.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,0.43
2019-09-30,0.9130815,39.00775567,13.48297905,92946786.0,2.37702748,0.00515881,32.0,7.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,0.78
2019-10-31,0.91283047,39.00775567,13.48297905,92946786.0,2.37702748,0.01076852,32.0,7.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,1.36
2019-11-30,0.91283047,39.00775567,13.48297905,92946786.0,2.37702748,0.01076852,32.0,7.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,2.01
2019-12-31,0.91283047,39.00775567,13.48297905,92946786.0,2.37702748,0.01076852,32.0,7.0,115.68,1.33,2.63,68324.0,10.58,89.19,0.21,64.67,58133.84,139637.78,41.89,4.59,0.64,0.74,64.6,0.99,2.61,-6.45,1.92
2020-01-31,0.91283047,39.00775567,13.48297905,92946786.0,2.37702748,0.01666119,32.0,7.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,2.44
2020-02-29,0.9244537,39.00775567,13.48297905,92946786.0,2.37702748,0.02770721,32.0,7.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,2.15
2020-03-31,0.9244537,39.00775567,13.48297905,92946786.0,2.37702748,0.02770721,32.0,7.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,2.35
2020-04-30,0.92582633,39.00775567,13.48297905,92946786.0,2.37702748,0.02423901,32.0,7.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,2.42
2020-05-31,0.92582633,39.00775567,13.48297905,92946786.0,2.37702748,-0.05714672,32.0,7.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,3.74
2020-06-30,0.92582633,39.00775567,13.48297905,92946786.0,2.37702748,-0.05714672,32.0,7.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,4.64
2020-07-31,0.92175073,39.00775567,13.48297905,92946786.0,2.37702748,-0.05624606,32.0,7.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,5.31
2020-08-31,0.92175271,39.02510632,13.48297905,92946786.0,2.37702748,-0.05727488,43.0,4.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,5.65
2020-09-30,0.92175271,39.02510632,13.48297905,92946786.0,2.37702748,-0.05005974,43.0,4.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,5.06
2020-10-31,0.92175271,39.02510632,13.48297905,92946786.0,2.37702748,-0.05005974,43.0,4.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,5.1
2020-11-30,0.92175271,39.02510632,13.48297905,92946786.0,2.37702748,-0.05005974,43.0,4.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,5.31
2020-12-31,0.92175271,39.02510632,13.48297905,92946786.0,2.37702748,-0.05005974,43.0,4.0,116.86,1.02,2.61,71009.94,10.4,89.38,0.21,63.28,56316.05,144236.05,42.34,4.61,0.47,0.56,65.04,0.78,-2.36,131.03,5.26
2021-01-31,0.922,39.02510632,13.48297905,92946786.0,2.37702748,-0.0548572,43.0,4.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,6.01
2021-02-28,0.90134869,39.02510632,13.48297905,92946786.0,2.37702748,-0.03155561,32.0,3.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,6.37
2021-03-31,0.90134869,39.02510632,13.48297905,92946786.0,2.37702748,-0.03155561,32.0,3.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,7.75
2021-04-30,0.897,39.02510632,13.48297905,92946786.0,2.37702748,-0.02746258,32.0,3.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,7.52
2021-05-31,0.897,39.02510632,13.48297905,92946786.0,2.37702748,-0.02746258,32.0,3.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,6.9
2021-06-30,0.897,39.02510632,13.48297905,92946786.0,2.37702748,-0.02746258,32.0,3.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,6.43
2021-07-31,0.897,39.02510632,13.48297905,92946786.0,2.37702748,0.0517254,32.0,3.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,6.28
2021-08-31,0.897,39.02510632,13.48297905,92946786.0,2.37702748,0.02716761,32.0,3.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,6.91
2021-09-30,0.897,39.02510632,13.48297905,92946786.0,2.37702748,0.02716761,32.0,3.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,7.6
2021-10-31,0.897,39.02510632,13.48297905,92946786.0,2.37702748,0.06490362,32.0,3.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,8.04
2021-11-30,0.897,39.02510632,13.48297905,92946786.0,2.37702748,0.06490362,32.0,3.0,122.31,4.66,2.51,74151.0,10.23,89.55,0.21,61.11,59115.19,153058.6,42.65,4.6,0.35,0.43,65.41,0.63,5.63,-37.31,7.16
