period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,500000.0,599000.0,384.61538461538464,385.7336610757664,3.0,3.0,3.0,14.0,4.7,56.0,0.9821586620946494,0.3333333333333333,0.0714285714285714,0.0,0.0,0.0,CA,Buena Park,Townhouse
2019-02-28,465000.0,589900.0,361.4754098360656,392.1472409307189,3.0,4.0,3.0,11.0,3.7,75.0,0.9750289471323352,0.0,0.1818181818181818,0.25,0.0,-0.06016393442622958,CA,Buena Park,Townhouse
2019-03-31,455000.0,612500.0,366.9354838709677,408.0766183972876,3.0,,3.0,13.0,4.3,28.0,0.9903578244592068,0.0,0.0769230769230769,,0.19,0.015104966717869761,CA,Buena Park,Townhouse
2019-04-30,525000.0,599999.0,369.8630136986301,412.4513618677042,3.0,4.0,5.0,12.0,4.0,55.0,1.1062086713642525,0.3333333333333333,0.1666666666666666,0.0,0.19,0.007978323046816227,CA,Buena Park,Townhouse
2019-05-31,433000.0,622500.0,362.953692115144,411.45833333333326,5.0,2.0,6.0,15.0,3.0,120.0,1.009602200683415,0.2,0.2666666666666666,0.5,0.55,-0.018680758355351212,CA,Buena Park,Townhouse
2019-06-30,467500.0,599900.0,385.6617947809015,401.6208597603946,4.0,3.0,5.0,14.0,3.5,45.0,1.0031087523922573,0.25,0.2142857142857142,0.0,0.36,0.06256473803427665,CA,Buena Park,Townhouse
2019-07-31,525000.0,619000.0,323.66771159874605,381.93859042731856,7.0,6.0,7.0,13.0,1.9,44.0,0.9820928421057192,0.2857142857142857,,0.1666666666666666,0.36,-0.16074727655451315,CA,Buena Park,Townhouse
2019-08-31,490000.0,642450.0,371.7754172989378,392.8464985199303,5.0,4.0,7.0,15.0,3.0,31.0,0.9974692341702868,0.4,0.5333333333333333,0.5,0.12,0.1486330084102776,CA,Buena Park,Townhouse
2019-09-30,431750.0,595000.0,360.05155391985045,412.11871393239903,4.0,7.0,7.0,13.0,3.3,56.0,1.0101185001449982,0.5,0.1538461538461538,0.2857142857142857,0.12,-0.03153479986456553,CA,Buena Park,Townhouse
2019-10-31,560000.0,625000.0,357.1428571428572,408.6124401913876,9.0,8.0,7.0,10.0,1.1,32.0,0.9862934250125412,0.1111111111111111,,0.125,0.12,-0.008078556377070112,CA,Buena Park,Townhouse
2019-11-30,410000.0,619000.0,416.6322196616616,406.74603174603175,2.0,4.0,4.0,10.0,5.0,94.0,0.9938734683670916,0.0,0.1,0.75,0.25,0.16657021505265224,CA,Buena Park,Townhouse
2019-12-31,565000.0,609749.5,378.4326858673811,394.73523963086205,7.0,3.0,1.0,5.0,0.6999999999999998,58.0,0.9929622368655812,0.2857142857142857,,0.0,0.47,-0.09168646108383449,CA,Buena Park,Townhouse
2020-01-31,530000.0,662450.0,336.29441624365484,404.68855299894096,1.0,3.0,4.0,6.0,6.0,150.0,0.9397163120567376,0.0,0.1666666666666666,0.6666666666666666,0.47,-0.11134944521809442,CA,Buena Park,Townhouse
2020-02-29,516500.0,641450.0,366.044731130938,411.2330947665164,4.0,2.0,4.0,6.0,1.5,34.0,1.013322369730685,0.5,,0.5,0.68,0.08846508728746838,CA,Buena Park,Townhouse
2020-03-31,462500.0,650000.0,362.4608150470219,385.55555555555554,2.0,2.0,2.0,5.0,2.5,94.0,0.994097222222222,0.5,0.2,0.5,0.46,-0.009790923838305599,CA,Buena Park,Townhouse
2020-04-30,457000.0,625000.0,358.15047021943576,392.7129601203859,1.0,2.0,3.0,6.0,6.0,54.0,1.017817371937639,1.0,0.1666666666666666,0.0,2.59,-0.01189189189189177,CA,Buena Park,Townhouse
2020-05-31,587483.0,649950.0,368.5589711417817,418.21517625420734,1.0,,6.0,11.0,11.0,20.0,1.0,0.0,0.1818181818181818,,5.2,0.029061810015127865,CA,Buena Park,Townhouse
2020-06-30,522500.0,650000.0,417.0644726496688,411.3345521023766,2.0,4.0,7.0,13.0,6.5,50.0,1.0070457161375397,1.0,,0.25,6.06,0.13160852212501828,CA,Buena Park,Townhouse
2020-07-31,480000.0,669900.0,376.8382352941176,415.3225806451613,3.0,8.0,7.0,12.0,4.0,34.0,0.998337507462827,0.3333333333333333,0.1666666666666666,0.375,5.46,-0.09645088467974339,CA,Buena Park,Townhouse
2020-08-31,520000.0,672999.0,395.1612903225807,418.39129126547454,11.0,12.0,12.0,10.0,0.9,48.0,0.9895025972847132,0.0909090909090909,,0.4166666666666666,4.33,0.048623131392604435,CA,Buena Park,Townhouse
2020-09-30,582500.0,649900.0,371.8245223698405,426.4886547441024,10.0,7.0,15.0,16.0,1.6,29.0,1.0220665981825134,0.5999999999999999,0.1875,0.1428571428571428,5.22,-0.05905631073754669,CA,Buena Park,Townhouse
2020-10-31,549500.0,664900.0,409.95018381953054,451.1187969924812,6.0,6.0,2.0,12.0,2.0,21.0,1.0046081867611532,0.5,0.25,0.3333333333333333,5.13,0.10253670523583103,CA,Buena Park,Townhouse
2020-11-30,520000.0,649995.0,392.2872340425532,420.3603603603604,7.0,7.0,7.0,12.0,1.7,57.0,0.9897299675259796,0.1428571428571428,0.1666666666666666,0.0,4.32,-0.043085600334193175,CA,Buena Park,Townhouse
2020-12-31,536000.0,699000.0,403.49264705882354,437.21828718609146,5.0,7.0,4.0,8.0,1.6,25.0,1.0130401505472637,0.5999999999999999,0.375,0.1428571428571428,3.69,0.028564307078763562,CA,Buena Park,Townhouse
2021-01-31,543500.0,699900.0,402.5741106719368,435.8353510895884,10.0,4.0,2.0,4.0,0.4,40.0,0.9893687276004528,0.2999999999999999,,0.0,4.13,-0.0022764637561111245,CA,Buena Park,Townhouse
2021-02-28,680000.0,730000.0,351.2396694214876,463.618802318094,1.0,2.0,4.0,4.0,4.0,153.0,0.9870980478684488,0.0,,0.5,4.89,-0.12751550556683056,CA,Buena Park,Townhouse
2021-03-31,535000.0,709950.0,374.079528718704,445.41273742304486,7.0,4.0,9.0,9.0,1.3,35.0,1.006590176816211,0.2857142857142857,0.1111111111111111,0.75,5.55,0.06502642294031036,CA,Buena Park,Townhouse
2021-04-30,540000.0,720000.0,435.8974358974359,478.6870298609528,7.0,7.0,3.0,4.0,0.5999999999999999,19.0,1.0359436976942349,1.0,,0.2857142857142857,5.47,0.16525338178881488,CA,Buena Park,Townhouse
2021-05-31,565000.0,699999.0,433.9645759137285,501.6244314489929,4.0,7.0,6.0,3.0,0.8,68.0,1.0194725143733334,0.75,0.3333333333333333,0.5714285714285714,5.31,-0.004434208197917067,CA,Buena Park,Townhouse
2021-06-30,660000.0,750000.0,431.08418166607305,490.40606871932175,6.0,1.0,4.0,6.0,1.0,13.0,1.038225495667923,0.8333333333333333,,0.0,4.63,-0.0066373948647551195,CA,Buena Park,Townhouse
2021-07-31,700000.0,749000.0,409.2523553365412,489.07908800861526,4.0,9.0,7.0,4.0,1.0,32.0,0.9838951292807104,0.0,,0.5555555555555555,3.94,-0.05064399775736439,CA,Buena Park,Townhouse
2021-08-31,632500.0,760000.0,452.75512627662096,489.04154399738303,4.0,2.0,5.0,7.0,1.8,11.0,1.0032857208467636,0.5,,0.5,2.53,0.10629815655992014,CA,Buena Park,Townhouse
2021-09-30,633000.0,742499.5,439.56043956043953,506.4709181440141,5.0,10.0,4.0,1.0,0.2,49.0,1.0109824716124491,0.5999999999999999,1.0,0.2999999999999999,2.09,-0.02914309733981857,CA,Buena Park,Townhouse
2021-10-31,640000.0,775000.0,439.0048154093098,499.3556701030928,4.0,1.0,5.0,5.0,1.3,9.0,1.005631727030032,0.5,,1.0,1.37,-0.0012640449438201529,CA,Buena Park,Townhouse
2021-11-30,700000.0,,419.5286111249772,,4.0,4.0,,1.0,0.2999999999999999,33.0,1.0020140988982544,0.5,,0.0,2.33,-0.044364443397218345,CA,Buena Park,Townhouse
2021-12-31,615000.0,,483.8709677419354,,1.0,1.0,,,,53.0,1.0423728813559323,1.0,,0.0,2.11,0.15336822069041345,CA,Buena Park,Townhouse
2022-01-31,453000.0,799888.0,337.55588673621463,563.4674922600619,1.0,3.0,6.0,3.0,3.0,4.0,1.0,0.0,,0.6666666666666666,2.38,-0.3023845007451562,CA,Buena Park,Townhouse
2022-02-28,625000.0,835000.0,472.5609756097561,550.755939524838,5.0,4.0,6.0,5.0,1.0,21.0,1.048589894762325,0.8,,0.25,2.54,0.3999488504818822,CA,Buena Park,Townhouse
2022-03-31,635000.0,875000.0,535.3264636569475,532.9238062955558,6.0,5.0,3.0,3.0,0.5,29.0,1.0143496716826217,0.6666666666666666,,0.0,3.67,0.13281987148050822,CA,Buena Park,Townhouse
2022-04-30,720000.0,799999.5,538.9093782929399,556.272112623877,4.0,5.0,5.0,3.0,0.8,24.0,1.0573675458945135,1.0,0.3333333333333333,0.2,4.46,0.00669295257984559,CA,Buena Park,Townhouse
2022-05-31,687500.0,825000.0,488.4142476866522,565.189466923571,4.0,4.0,6.0,5.0,1.3,25.0,1.0276751369056298,0.5,0.4,0.25,5.19,-0.09369874164416492,CA,Buena Park,Townhouse
2022-06-30,685000.0,799000.0,510.8877721943048,513.1351689612015,3.0,5.0,8.0,8.0,2.7,22.0,1.0132881729744774,0.6666666666666666,0.25,0.2,4.7,0.04601324513790761,CA,Buena Park,Townhouse
2022-07-31,745000.0,829990.0,461.6675993284835,547.8444119795471,3.0,2.0,8.0,14.0,4.7,28.0,1.0174149319061283,0.3333333333333333,0.2857142857142857,0.0,4.77,-0.09634243672424692,CA,Buena Park,Townhouse
2022-08-31,563500.0,799000.0,481.1878231738402,551.007556675063,2.0,9.0,7.0,12.0,6.0,44.0,0.988880338591766,0.5,0.1666666666666666,0.3333333333333333,3.0,0.04228198789291193,CA,Buena Park,Townhouse
2022-09-30,600000.0,839990.0,493.42105263157896,504.7021943573668,1.0,5.0,5.0,12.0,12.0,77.0,0.967741935483871,0.0,0.3333333333333333,0.2,2.66,0.02542298218822392,CA,Buena Park,Townhouse
2022-10-31,749956.5,779500.0,497.9284629194863,559.9671979844845,4.0,4.0,3.0,11.0,2.8,48.0,0.9884258522645905,0.25,0.3636363636363636,0.25,2.77,0.00913501818349216,CA,Buena Park,Townhouse
2022-11-30,769440.0,775000.0,482.01828666955777,537.2790161414297,4.0,3.0,3.0,11.0,2.8,20.0,0.9950456124676264,0.5,0.2727272727272727,0.0,3.73,-0.0319527350508203,CA,Buena Park,Townhouse
2022-12-31,710880.0,,550.2179386309992,,5.0,1.0,,5.0,1.0,60.0,0.9944201971101506,0.4,,0.0,3.74,0.1414876859395897,CA,Buena Park,Townhouse
2023-01-31,650000.0,813500.0,472.0442781735253,565.0396049321681,2.0,3.0,5.0,5.0,2.5,117.0,0.993485984998026,0.0,0.4,0.3333333333333333,2.91,-0.14207762955162517,CA,Buena Park,Townhouse
2023-02-28,798000.0,799500.0,441.72614874768976,525.0279277315562,2.0,4.0,3.0,4.0,2.0,90.0,0.997057262395404,0.5,,0.25,2.73,-0.0642272999116631,CA,Buena Park,Townhouse
2023-03-31,720000.0,836900.0,489.3092105263158,538.2456881875712,9.0,3.0,4.0,5.0,0.5999999999999999,32.0,0.9931211557717105,0.1111111111111111,0.2,0.3333333333333333,4.09,0.1077207267750071,CA,Buena Park,Townhouse
2023-04-30,781445.0,801950.0,486.61635754327983,533.3111373269377,2.0,3.0,4.0,5.0,2.5,39.0,1.0012163411590045,1.0,0.2,0.3333333333333333,5.16,-0.005503376852725617,CA,Buena Park,Townhouse
2023-05-31,622500.0,807500.0,532.4359582542694,625.776400240411,2.0,2.0,2.0,5.0,2.5,20.0,1.0012886597938144,0.5,,0.0,4.87,0.09415959821472786,CA,Buena Park,Townhouse
2023-06-30,772495.0,849950.0,585.1344053008125,575.3393934653268,2.0,2.0,4.0,6.0,3.0,50.0,0.9968812110151376,0.0,,0.0,4.49,0.09897612328688088,CA,Buena Park,Townhouse
2023-07-31,649500.0,829450.0,460.9351432880845,567.4374943400446,4.0,4.0,1.0,3.0,0.8,39.0,1.0256102870876007,0.75,,0.25,4.07,-0.21225766402999036,CA,Buena Park,Townhouse
2023-08-31,680000.0,839900.0,460.70460704607046,598.4589041095891,1.0,,5.0,8.0,8.0,12.0,1.0,0.0,0.125,,4.15,-0.0005001489805473991,CA,Buena Park,Townhouse
2023-09-30,610000.0,847500.0,478.0564263322884,587.5266651653012,1.0,2.0,1.0,5.0,5.0,30.0,0.9386059393752884,0.0,0.2,0.0,3.56,0.03766365480361422,CA,Buena Park,Townhouse
