period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,359500.0,387500.0,213.10017783046828,223.3894489886501,1.0,1.0,1.0,2.0,2.0,38.0,0.9782312925170068,0.0,0.5,0.0,0.48,0.0
2019-02-28,356000.0,,230.7193778353856,,1.0,1.0,,1.0,1.0,73.0,0.949586556415044,0.0,1.0,0.0,1.16,0.0826803627490835
2019-03-31,,,,,,,,,,,,,,,1.96,0.0
2019-04-30,365000.0,425000.0,231.5989847715736,188.8045313194136,1.0,3.0,2.0,2.0,2.0,61.0,1.0,0.0,0.5,0.0,2.19,0.0038124536588148
2019-05-31,242750.0,495000.0,186.82555417091496,153.72670807453417,1.5,2.0,2.0,2.0,1.0,32.5,0.9929404474738308,0.0,,0.5,2.17,-0.1933230866483234
2019-06-30,363250.0,375000.0,214.06833843373363,223.081499107674,2.0,1.0,2.0,3.0,1.5,31.0,0.9654058063148973,0.0,,0.0,1.82,0.1458193681464794
2019-07-31,337000.0,,215.4731457800512,,1.0,,,2.0,2.0,26.0,1.006270528515975,1.0,1.0,,1.78,0.0065624246752045
2019-08-31,231450.0,,211.58009516256945,,1.0,,,2.0,2.0,69.0,0.9841772151898732,0.0,,,1.76,-0.01806745153039
2019-09-30,,,,,,,,,,,,,,,1.91,0.0
2019-10-31,302000.0,489999.5,259.45017182130584,184.1209853493285,2.0,1.0,2.0,2.0,1.0,111.0,0.9840338872596937,0.0,,1.0,1.87,0.2262503787133425
2019-11-30,345000.0,349950.0,221.7223650385604,200.8897818599312,1.0,2.0,1.0,1.0,1.0,20.0,0.9585996110030564,0.0,1.0,0.0,2.03,-0.1454144605798533
2019-12-31,301700.0,405000.0,269.72129432317763,181.9407008086253,2.0,1.0,1.0,1.0,0.5,33.0,0.976469554850408,0.0,,0.0,2.36,0.2164821274401867
2020-01-31,340000.0,,195.17795637198623,,1.0,1.0,,,,33.0,0.9715673667666808,0.0,,0.0,3.08,-0.2763717196977197
2020-02-29,395000.0,380000.0,177.4483378256963,211.93530395984385,1.0,,3.0,3.0,3.0,42.0,0.9753086419753086,0.0,0.3333333333333333,,3.33,-0.0908382220812853
2020-03-31,365000.0,535000.0,203.56943669827103,168.66330390920555,1.0,2.0,1.0,2.0,2.0,3.0,0.9605263157894736,0.0,1.0,0.5,3.44,0.1472039647856995
2020-04-30,383000.0,527450.0,226.09208972845337,190.58321618532125,1.0,2.0,1.0,1.0,1.0,36.0,0.9948051948051948,0.0,,0.5,5.15,0.1106386763921012
2020-05-31,,,,,,,,,,,,,,,5.97,0.0
2020-06-30,387000.0,547500.0,228.4533648170012,153.34486570292424,3.0,5.0,1.0,2.0,0.6999999999999998,9.0,0.987912087912088,0.0,,0.0,6.97,0.010443864229765
2020-07-31,322250.0,399999.0,255.1320311086996,214.50459652706843,4.0,3.0,2.0,1.0,0.2999999999999999,37.0,0.9868698413282752,0.0,1.0,0.3333333333333333,6.44,0.1167794850081063
2020-08-31,309900.0,485450.0,266.2371134020619,233.068260625136,3.0,2.0,3.0,2.0,0.6999999999999998,23.0,1.0076202804746497,0.3333333333333333,,1.0,7.06,0.0435268054940185
2020-09-30,361250.0,525000.0,254.4459752640664,183.31005586592173,2.0,2.0,1.0,1.0,0.5,3.0,0.9984779299847792,0.0,,0.0,7.7,-0.0442881083982792
2020-10-31,355500.0,415000.0,259.4559818062122,184.772929652716,2.0,2.0,2.0,1.0,0.5,47.0,1.0056923069136945,1.0,,1.0,8.66,0.0196898635828151
2020-11-30,367450.0,,241.3157013254269,,2.0,1.0,,,,3.0,1.0,0.0,,0.0,9.43,-0.069916601477064
2020-12-31,248500.0,515000.0,240.1231915198396,175.7079495052883,1.0,1.0,1.0,,,21.0,0.9952380952380953,0.0,,1.0,9.95,-0.0049417000180155
2021-01-31,325000.0,465000.0,210.62864549578745,206.15335731770884,1.0,1.0,1.0,,,4.0,0.9848484848484848,0.0,,1.0,8.5,-0.1228308929152943
2021-02-28,,,,,,,,,,,,,,,7.71,0.0
2021-03-31,368500.0,,235.93495881643145,,2.0,,,,,3.0,1.0098591549295777,0.5,,,7.14,0.1201465890884727
2021-04-30,,,,,,,,,,,,,,,7.86,0.0
2021-05-31,375000.0,489450.0,279.43372463603504,205.168776371308,2.0,3.0,2.0,,,4.0,1.0659146341463417,1.0,,1.0,8.32,0.1843676157099198
2021-06-30,405000.0,610000.0,235.5045936242448,166.84901531728664,2.0,1.0,3.0,2.0,1.0,4.0,1.0526992287917738,0.5,0.5,1.0,9.96,-0.1572076923392419
2021-07-31,326450.0,601000.0,204.21767632213235,211.2542263119451,1.5,1.5,1.0,1.0,0.5,44.5,1.0589905474429575,1.0,1.0,0.0,10.73,-0.1328505606647815
2021-08-31,455000.0,700000.0,268.59504132231405,182.10551908582545,2.0,2.0,2.0,1.0,0.5,15.0,1.0518577920342156,1.0,,1.0,10.94,0.31523894581306
2021-09-30,357750.0,509900.0,307.3453608247423,265.6434474616293,2.0,3.0,3.0,1.0,0.5,28.0,1.0156263213211398,0.5,,0.6666666666666666,10.66,0.144270420301348
2021-10-31,475000.0,480000.0,280.4014167650531,262.69185360094446,3.0,2.0,3.0,2.0,0.6999999999999998,2.0,1.0605863882268378,1.0,1.0,1.0,11.05,-0.0876666691417978
2021-11-30,359200.0,580997.5,253.8807644621851,274.7650313329087,1.5,2.5,1.5,,,18.5,0.9992500572007584,0.25,,0.75,11.37,-0.0945810210548597
2021-12-31,339000.0,,265.948939680653,,2.5,,,,,11.0,1.0000439997512178,0.75,,,11.22,0.0475348151878807
2022-01-31,,,,,,,,,,,,,,,10.05,0.0
2022-02-28,,,,,,,,,,,,,,,10.93,0.0
2022-03-31,,,,,,,,,,,,,,,11.61,0.0
2022-04-30,,,,,,,,,,,,,,,13.53,0.0
2022-05-31,295000.0,677500.0,249.17222231504843,220.9010555728976,1.0,2.0,2.0,,,35.5,0.9937927068533928,0.5,,0.5,13.23,-0.0630824751012346
2022-06-30,526500.0,502000.0,317.13100177830466,272.7915836792199,3.0,1.0,3.0,2.0,0.6999999999999998,4.0,1.014816955684008,0.6666666666666666,0.5,1.0,12.4,0.2727381841838312
2022-07-31,,,,,,,,,,,,,,,11.27,0.0
