period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,215000.0,299450.0,156.25,191.1744224508626,29.0,36.0,61.0,199.0,6.9,74.0,0.9461444241186376,0.0344827586206896,0.3115577889447236,0.0833333333333333,0.75,0.0,FL,Delray Beach,Townhouse
2019-02-28,260000.0,290000.0,170.96115475745106,191.4042553191489,38.0,23.0,55.0,209.0,5.5,70.0,0.9560384326700002,0.0526315789473684,0.2344497607655502,0.0869565217391304,0.99,0.09415139044768672,FL,Delray Beach,Townhouse
2019-03-31,260000.0,295000.0,167.3469387755102,197.68527904080628,39.0,35.0,66.0,217.0,5.6,67.0,0.9543126278158032,0.0769230769230769,0.2258064516129032,0.1428571428571428,1.75,-0.021140568376883384,FL,Delray Beach,Townhouse
2019-04-30,290000.0,284950.0,164.8197439658138,183.80645161290323,56.0,28.0,49.0,209.0,3.7,72.0,0.964170037532786,0.0178571428571428,0.263157894736842,0.1071428571428571,1.0,-0.015101529960380944,FL,Delray Beach,Townhouse
2019-05-31,208000.0,259000.0,156.86274509803923,178.0487804878049,47.0,33.0,51.0,197.0,4.2,80.0,0.9544680873867668,0.0851063829787234,0.1979695431472081,0.0909090909090909,1.03,-0.048276976267024097,FL,Delray Beach,Townhouse
2019-06-30,229000.0,249999.0,162.0897407186225,166.92546583850933,50.0,28.0,34.0,178.0,3.6,62.0,0.9531755191784989,0.04,0.2191011235955056,0.1071428571428571,0.69,0.03332209708121825,FL,Delray Beach,Townhouse
2019-07-31,240000.0,220900.0,165.86301369863014,166.0380220646178,43.0,34.0,39.0,150.0,3.5,97.0,0.9644777756102972,0.1162790697674418,0.1866666666666666,0.2647058823529411,1.08,0.023278913047049654,FL,Delray Beach,Townhouse
2019-08-31,214450.0,289500.0,159.6106245012448,191.2568306010929,36.0,13.0,38.0,142.0,3.9,103.0,0.9611285855689742,0.0,0.176056338028169,0.2307692307692307,1.66,-0.03769610269318868,FL,Delray Beach,Townhouse
2019-09-30,200000.0,293450.0,162.26708074534162,197.77696524783207,31.0,18.0,46.0,159.0,5.1,54.0,0.959927643670178,0.064516129032258,0.2012578616352201,0.1111111111111111,1.73,0.016643354741564087,FL,Delray Beach,Townhouse
2019-10-31,236500.0,313950.0,165.06068865099527,195.58214450069028,30.0,22.0,60.0,173.0,5.8,85.0,0.966983969391972,0.1,0.2427745664739884,0.1363636363636363,2.19,0.017216109964028226,FL,Delray Beach,Townhouse
