period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share,State,City,Property_Type
2019-08-31,0.88807951,39.93466059,8.51659848,233855736.0,2387.68881584,-0.02772716,30.0,28.0,119.89,1.62,3.07,87470.0,8.61,91.0,0.37,55.34,55149.89,159140.95,30.85,6.13,-0.48,-0.64,66.75,-0.27,-1.43,0.0,4.1,HI,Honolulu,Office
2019-09-30,0.88807951,39.93466059,8.51659848,233855736.0,2387.68881584,-0.02772716,30.0,28.0,119.89,1.62,3.07,87470.0,8.61,91.0,0.37,55.34,55149.89,159140.95,30.85,6.13,-0.48,-0.64,66.75,-0.27,-1.43,0.0,4.16,HI,Honolulu,Office
2019-10-31,0.88783058,39.93466059,8.51659848,233855736.0,2387.68881584,-0.02513234,30.0,28.0,119.89,1.62,3.07,87470.0,8.61,91.0,0.37,55.34,55149.89,159140.95,30.85,6.13,-0.48,-0.64,66.75,-0.27,-1.43,0.0,3.69,HI,Honolulu,Office
2019-11-30,0.88783058,39.93466059,8.51659848,233855736.0,2387.68881584,-0.02513234,30.0,28.0,119.89,1.62,3.07,87470.0,8.61,91.0,0.37,55.34,55149.89,159140.95,30.85,6.13,-0.48,-0.64,66.75,-0.27,-1.43,0.0,3.43,HI,Honolulu,Office
2019-12-31,0.88783058,39.93466059,8.51659848,233855736.0,2387.68881584,-0.02513234,30.0,28.0,119.89,1.62,3.07,87470.0,8.61,91.0,0.37,55.34,55149.89,159140.95,30.85,6.13,-0.48,-0.64,66.75,-0.27,-1.43,0.0,3.14,HI,Honolulu,Office
2020-01-31,0.88783058,39.93466059,8.51659848,233855736.0,2387.68881584,-0.02136351,30.0,28.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,3.07,HI,Honolulu,Office
2020-02-29,0.89987507,39.93466059,8.51659848,233855736.0,2387.68881584,-0.00354537,30.0,28.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,1.86,HI,Honolulu,Office
2020-03-31,0.89987507,39.93466059,8.51659848,233855736.0,2387.68881584,-0.00354537,30.0,28.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,2.93,HI,Honolulu,Office
2020-04-30,0.91786609,39.93466059,8.51659848,233855736.0,2387.68881584,-0.00126023,30.0,28.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,3.5,HI,Honolulu,Office
2020-05-31,0.91786609,39.93466059,8.51659848,233855736.0,2387.68881584,-0.11265403,30.0,28.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,3.87,HI,Honolulu,Office
2020-06-30,0.91786609,39.93466059,8.51659848,233855736.0,2387.68881584,-0.11265403,30.0,28.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,3.91,HI,Honolulu,Office
2020-07-31,0.91874899,39.93466059,8.51659848,233855736.0,2387.68881584,-0.10275329,30.0,28.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,3.42,HI,Honolulu,Office
2020-08-31,0.91875091,40.42161179,8.51659848,233855736.0,2387.68881584,-0.10366455,18.0,21.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,4.15,HI,Honolulu,Office
2020-09-30,0.91875091,40.42161179,8.51659848,233855736.0,2387.68881584,-0.09903705,18.0,21.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,4.87,HI,Honolulu,Office
2020-10-31,0.91875091,40.42161179,8.51659848,233855736.0,2387.68881584,-0.09903705,18.0,21.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,4.81,HI,Honolulu,Office
2020-11-30,0.91875091,40.42161179,8.51659848,233855736.0,2387.68881584,-0.09903705,18.0,21.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,7.22,HI,Honolulu,Office
2020-12-31,0.91875091,40.42161179,8.51659848,233855736.0,2387.68881584,-0.09903705,18.0,21.0,121.77,1.57,3.0,89370.03,8.64,90.98,0.37,54.06,49868.7,161213.44,31.4,6.28,-0.73,-0.87,67.11,-0.54,-10.06,356.52,8.14,HI,Honolulu,Office
2021-01-31,0.919,40.42161179,8.51659848,233855736.0,2387.68881584,-0.09495474,18.0,21.0,127.94,5.06,2.81,90704.0,8.66,90.97,0.36,54.88,52688.84,158957.01,31.5,6.33,-1.38,-1.51,67.43,-1.21,4.36,-49.52,8.56,HI,Honolulu,Office
2021-02-28,0.89989448,40.42161179,8.51659848,233855736.0,2387.68881584,-0.05176889,37.0,26.0,127.94,5.06,2.81,90704.0,8.66,90.97,0.36,54.88,52688.84,158957.01,31.5,6.33,-1.38,-1.51,67.43,-1.21,4.36,-49.52,7.36,HI,Honolulu,Office
2021-03-31,0.89989448,40.42161179,8.51659848,233855736.0,2387.68881584,-0.05176889,37.0,26.0,127.94,5.06,2.81,90704.0,8.66,90.97,0.36,54.88,52688.84,158957.01,31.5,6.33,-1.38,-1.51,67.43,-1.21,4.36,-49.52,10.1,HI,Honolulu,Office
2021-04-30,0.898,40.42161179,8.51659848,233855736.0,2387.68881584,-0.01816627,37.0,26.0,127.94,5.06,2.81,90704.0,8.66,90.97,0.36,54.88,52688.84,158957.01,31.5,6.33,-1.38,-1.51,67.43,-1.21,4.36,-49.52,11.55,HI,Honolulu,Office
2021-05-31,0.898,40.42161179,8.51659848,233855736.0,2387.68881584,-0.01816627,37.0,26.0,127.94,5.06,2.81,90704.0,8.66,90.97,0.36,54.88,52688.84,158957.01,31.5,6.33,-1.38,-1.51,67.43,-1.21,4.36,-49.52,12.17,HI,Honolulu,Office
