period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share,State,City,Property_Type
2019-01-31,0.87809592,40.40425483,25.33933525,2255039712.0,3.78919071,0.00525706,46.0,56.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,3.08,NJ,Jersey City,Office
2019-02-28,0.87970924,40.40425483,25.33933525,2255039712.0,3.78919071,0.00525706,46.0,56.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,3.44,NJ,Jersey City,Office
2019-03-31,0.87970924,40.40425483,25.34407447,2255039712.0,3.78474122,0.00525706,46.0,56.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,2.99,NJ,Jersey City,Office
2019-04-30,0.87970924,40.40425483,25.34407447,2255039712.0,3.78474122,0.0031915,46.0,56.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,3.07,NJ,Jersey City,Office
2019-05-31,0.87970924,40.40425483,25.34407447,2255039712.0,3.78474122,0.0031915,46.0,56.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,3.35,NJ,Jersey City,Office
2019-06-30,0.87970924,40.40425483,25.34407447,2255039712.0,3.78474122,-0.00059705,46.0,56.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,2.62,NJ,Jersey City,Office
2019-07-31,0.87970924,40.40425483,25.34407447,2255039712.0,3.78474122,-0.00059705,46.0,56.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,2.39,NJ,Jersey City,Office
2019-08-31,0.84607537,40.66368071,25.64130593,2799252511.0,3.94134203,-0.0103259,36.0,50.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,3.67,NJ,Jersey City,Office
2019-09-30,0.84607537,40.66368071,25.64130593,2799252511.0,3.94134203,-0.0103259,36.0,50.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,4.06,NJ,Jersey City,Office
2019-10-31,0.84583676,40.66368071,25.64130593,2799252511.0,3.94134203,-0.01292015,36.0,50.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,4.1,NJ,Jersey City,Office
2019-11-30,0.84583676,40.66368071,25.64130593,2799252511.0,3.94134203,-0.01292015,36.0,50.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,3.91,NJ,Jersey City,Office
2019-12-31,0.84583676,40.66368071,25.64130593,2799252511.0,3.94134203,-0.01292015,36.0,50.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,3.4,NJ,Jersey City,Office
2019-01-31,0.80859592,38.56758328,10.0784418,2508393822.0,2.32517049,0.02777329,40.0,53.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,3.84,NJ,Jersey City,Office
2019-02-28,0.81602244,38.56758328,10.0784418,2508393822.0,2.32517049,0.02777329,40.0,53.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,4.57,NJ,Jersey City,Office
2019-03-31,0.81602244,38.56758328,10.07113263,2508393822.0,2.32138958,0.02777329,40.0,53.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,5.42,NJ,Jersey City,Office
2019-04-30,0.81602244,38.56758328,10.07113263,2508393822.0,2.32138958,0.02659546,40.0,53.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,11.67,NJ,Jersey City,Office
2019-05-31,0.81602244,38.56758328,10.07113263,2508393822.0,2.32138958,0.02659546,40.0,53.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,12.7,NJ,Jersey City,Office
2019-06-30,0.81602244,38.56758328,10.07113263,2508393822.0,2.32138958,0.02491987,40.0,53.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,13.52,NJ,Jersey City,Office
2019-07-31,0.81602244,38.56758328,10.07113263,2508393822.0,2.32138958,0.02491987,40.0,53.0,115.48,1.65,2.7,83160.0,7.98,91.91,0.09,62.68,75357.4,188069.64,46.86,3.36,0.06,-0.02,62.76,0.19,2.37,-7.69,13.79,NJ,Jersey City,Office
