period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,2.27,0.0
2019-02-28,,,,,,,,,,,,,,,3.06,
2019-03-31,165000.0,,73.46393588601958,,1.0,,,,,19.0,1.0,0.0,,,3.98,
2019-04-30,,,,,,,,,,,,,,,2.62,0.0
2019-05-31,,,,,,,,,,,,,,,2.97,0.0
2019-06-30,,,,,,,,,,,,,,,2.94,0.0
2019-07-31,,,,,,,,,,,,,,,3.34,0.0
2019-08-31,,,,,,,,,,,,,,,3.14,0.0
2019-09-30,,,,,,,,,,,,,,,3.16,0.0
2019-10-31,,,,,,,,,,,,,,,3.05,0.0
2019-11-30,,,,,,,,,,,,,,,3.16,0.0
2019-12-31,,,,,,,,,,,,,,,3.23,0.0
2020-01-31,,,,,,,,,,,,,,,3.64,0.0
2020-02-29,,,,,,,,,,,,,,,3.86,0.0
2020-03-31,,,,,,,,,,,,,,,4.56,0.0
2020-04-30,,,,,,,,,,,,,,,6.68,0.0
2020-05-31,235000.0,,167.37891737891738,,1.0,,,,,13.0,1.0,0.0,,,8.97,1.278382111715445
2020-06-30,,,,,,,,,,,,,,,11.19,0.0
2020-07-31,275000.0,365450.0,181.8783068783069,176.08977085924454,1.0,1.0,1.0,,,10.0,1.104417670682731,1.0,,1.0,10.49,0.0866261398176291
2020-08-31,,,,,,,,,,,,,,,10.17,0.0
2020-09-30,,,,,,,,,,,,,,,9.96,0.0
2020-10-31,,,,,,,,,,,,,,,10.72,0.0
2020-11-30,,,,,,,,,,,,,,,11.09,0.0
2020-12-31,265000.0,,188.7464387464388,,1.0,,,,,3.0,1.0,0.0,,,11.71,0.0377622377622379
2021-01-31,,,,,,,,,,,,,,,11.03,0.0
2021-02-28,,,,,,,,,,,,,,,11.98,0.0
2021-03-31,,,,,,,,,,,,,,,11.41,0.0
2021-04-30,,,,,,,,,,,,,,,11.69,0.0
2021-05-31,,,,,,,,,,,,,,,10.4,0.0
2021-06-30,,,,,,,,,,,,,,,10.37,0.0
2021-07-31,,,,,,,,,,,,,,,11.32,0.0
2021-08-31,,,,,,,,,,,,,,,12.03,0.0
2021-09-30,,,,,,,,,,,,,,,13.08,0.0
2021-10-31,,,,,,,,,,,,,,,13.9,0.0
2021-11-30,,,,,,,,,,,,,,,14.17,0.0
2021-12-31,,,,,,,,,,,,,,,14.7,0.0
2022-01-31,,,,,,,,,,,,,,,13.22,0.0
2022-02-28,365000.0,,162.51113089937667,,1.0,,,,,5.0,1.0428571428571427,1.0,,,13.89,-0.1389976310085857
2022-03-31,,,,,,,,,,,,,,,14.03,0.0
2022-04-30,,,,,,,,,,,,,,,15.64,0.0
2022-05-31,,,,,,,,,,,,,,,16.5,0.0
2022-06-30,,,,,,,,,,,,,,,17.19,0.0
2022-07-31,,,,,,,,,,,,,,,17.49,0.0
2022-08-31,,,,,,,,,,,,,,,16.72,0.0
2022-09-30,,,,,,,,,,,,,,,17.37,0.0
2022-10-31,,,,,,,,,,,,,,,18.57,0.0
2022-11-30,,,,,,,,,,,,,,,21.41,0.0
2022-12-31,,,,,,,,,,,,,,,20.97,0.0
2023-01-31,400000.0,,284.9002849002849,,1.0,,,,,3.0,0.9523809523809524,0.0,,,20.23,0.7531124380439447
2023-02-28,,,,,,,,,,,,,,,20.05,0.0
2023-03-31,,,,,,,,,,,,,,,19.77,0.0
2023-04-30,,,,,,,,,,,,,,,19.19,0.0
2023-05-31,,,,,,,,,,,,,,,17.84,0.0
2023-06-30,404900.0,461250.0,288.39031339031334,245.7947503613598,1.0,1.0,1.0,,,6.0,1.0,0.0,,1.0,16.75,0.0122499999999998
2023-07-31,405000.0,,243.38942307692307,,1.0,,,,,5.0,0.9484777517564404,0.0,,,17.99,-0.1560416152136329
2023-08-31,,,,,,,,,,,,,,,17.22,0.0
2023-09-30,,,,,,,,,,,,,,,18.76,0.0
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
