period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,320000.0,304900.0,126.73267326732672,138.73473917869035,1.0,,1.0,,,2.0,,,,1.0,1.98,0.0
2019-02-28,,,,,,,,,,,,,,,2.4,0.0
2019-03-31,,,,,,,,,,,,,,,3.44,0.0
2019-04-30,,,,,,,,,,,,,,,1.42,0.0
2019-05-31,,,,,,,,,,,,,,,2.24,0.0
2019-06-30,237000.0,289900.0,104.03863037752414,121.63129024564752,1.0,,2.0,,1.0,7.0,,,1.0,1.0,2.23,-0.1790701821773485
2019-07-31,266000.0,,99.10581222056632,,2.0,,,,,21.0,,,,0.0,3.06,-0.0474133323272149
2019-08-31,,,,,,,,,,,,,,,2.69,0.0
2019-09-30,,,,,,,,,,,,,,,2.05,0.0
2019-10-31,,,,,,,,,,,,,,,2.82,0.0
2019-11-30,,,,,,,,,,,,,,,1.67,0.0
2019-12-31,,,,,,,,,,,,,,,4.31,0.0
2020-01-31,,,,,,,,,,,,,,,1.99,0.0
2020-02-29,180000.0,,128.57142857142858,,1.0,,,,,6.0,,,,,2.28,0.2973147153598283
2020-03-31,,,,,,,,,,,,,,,1.64,0.0
2020-04-30,,,,,,,,,,,,,,,3.41,0.0
2020-05-31,,,,,,,,,,,,,,,3.09,0.0
2020-06-30,,,,,,,,,,,,,,,3.18,0.0
2020-07-31,280500.0,,90.60077519379844,,1.0,,,,,29.0,,,,0.0,3.18,-0.2953273040482344
2020-08-31,,,,,,,,,,,,,,,4.31,0.0
2020-09-30,,,,,,,,,,,,,,,4.46,0.0
2020-10-31,,,,,,,,,,,,,,,5.03,0.0
2020-11-30,,,,,,,,,,,,,,,5.72,0.0
2020-12-31,,,,,,,,,,,,,,,5.54,0.0
2021-01-31,,,,,,,,,,,,,,,5.5,0.0
2021-02-28,,,,,,,,,,,,,,,5.17,0.0
2021-03-31,,,,,,,,,,,,,,,5.66,0.0
2021-04-30,,,,,,,,,,,,,,,5.81,0.0
2021-05-31,,,,,,,,,,,,,,,6.11,0.0
2021-06-30,325000.0,,83.39748524506032,,1.0,,,,,9.0,,,,,6.88,-0.0795058313058582
2021-07-31,520000.0,,39.39393939393939,,2.0,,,,,57.0,,,,,5.93,-0.5276363636363638
2021-08-31,,,,,,,,,,,,,,,7.49,0.0
2021-09-30,,,,,,,,,,,,,,,8.78,0.0
2021-10-31,,,,,,,,,,,,,,,7.16,0.0
2021-11-30,532000.0,415000.0,125.17647058823528,156.8758344459279,1.0,,2.0,,2.0,55.0,,,0.5,0.0,7.06,2.177556561085973
2021-12-31,,,,,,,,,,,,,,,6.28,0.0
2022-01-31,320000.0,,166.75351745700883,,1.0,,,,,33.0,,,,,7.21,0.3321474608877586
2022-02-28,,,,,,,,,,,,,,,4.97,0.0
2022-03-31,,,,,,,,,,,,,,,7.69,0.0
2022-04-30,,,,,,,,,,,,,,,9.06,0.0
2022-05-31,,,,,,,,,,,,,,,7.75,0.0
2022-06-30,,,,,,,,,,,,,,,8.25,0.0
2022-07-31,,,,,,,,,,,,,,,7.63,0.0
2022-08-31,310000.0,445000.0,115.49925484351714,176.14091273018414,1.0,,1.0,,,3.0,,,,1.0,6.94,-0.307365406110283
2022-09-30,,,,,,,,,,,,,,,8.96,0.0
2022-10-31,481000.0,,271.0153672070605,,2.0,,,,,9.0,,,,,8.44,1.3464685341411302
2022-11-30,,,,,,,,,,,,,,,8.5,0.0
2022-12-31,,,,,,,,,,,,,,,7.13,0.0
2023-01-31,,,,,,,,,,,,,,,9.15,0.0
2023-02-28,,,,,,,,,,,,,,,9.56,0.0
2023-03-31,345000.0,,0.0173966292291205,,1.0,,,,,9.0,,,,1.0,9.59,-0.9999358094361644
2023-04-30,,,,,,,,,,,,,,,10.05,0.0
2023-05-31,,,,,,,,,,,,,,,8.74,0.0
2023-06-30,,,,,,,,,,,,,,,7.66,0.0
2023-07-31,,,,,,,,,,,,,,,8.93,0.0
2023-08-31,375000.0,,164.61808604038632,,1.0,,,,,4.0,,,,,8.51,9461.642669007935
2023-09-30,310000.0,507475.0,0.0274474200399103,172.3330365303003,1.0,,1.0,,,10.0,,,,1.0,9.29,-0.9998332660723976
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
