period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share
2019-01-31,0.87409592,36.09086998,15.25426731,682871229.0,22.66664735,0.05697681,9.0,49.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.02
2019-02-28,0.885,36.09086998,15.25426731,682871229.0,22.66664735,0.05697681,9.0,49.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.32
2019-03-31,0.885,36.09086998,15.19345974,682871229.0,22.65835749,0.05697681,9.0,49.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,3.77
2019-04-30,0.885,36.09086998,15.19345974,682871229.0,22.65835749,0.05543755,9.0,49.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.85
2019-05-31,0.885,36.09086998,15.19345974,682871229.0,22.65835749,0.05543755,9.0,49.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.43
2019-06-30,0.885,36.09086998,15.19345974,682871229.0,22.65835749,0.05230541,9.0,49.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.25
2019-07-31,0.885,36.09086998,15.19345974,682871229.0,22.65835749,0.05230541,9.0,49.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.2
2019-08-31,0.8840793,36.20346305,15.77000212,835494975.0,35.86383315,0.05125931,10.0,41.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.1
2019-09-30,0.8840793,36.20346305,15.77000212,835494975.0,35.86383315,0.05125931,10.0,41.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.88
2019-10-31,0.8838369,36.20346305,15.77000212,835494975.0,35.86383315,0.0535798,10.0,41.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.39
2019-11-30,0.8838369,36.20346305,15.77000212,835494975.0,35.86383315,0.0535798,10.0,41.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.02
2019-12-31,0.8838369,36.20346305,15.77000212,835494975.0,35.86383315,0.0535798,10.0,41.0,121.98,2.35,2.94,83985.0,13.29,86.13,0.57,58.5,62746.22,163633.59,37.51,4.21,-0.13,-0.32,69.92,-0.16,2.0,-2.94,4.26
2020-01-31,0.8838369,36.20346305,15.77000212,835494975.0,35.86383315,0.04504324,10.0,41.0,123.81,1.5,2.92,87649.37,13.24,86.19,0.56,57.1,61218.57,174857.66,37.78,4.24,0.0,-0.16,70.28,-0.02,-2.45,187.87,4.14
2020-02-29,0.88610709,36.20346305,15.77000212,835494975.0,35.86383315,0.03929315,10.0,41.0,123.81,1.5,2.92,87649.37,13.24,86.19,0.56,57.1,61218.57,174857.66,37.78,4.24,0.0,-0.16,70.28,-0.02,-2.45,187.87,4.52
2020-03-31,0.88610709,36.20346305,15.77000212,835494975.0,35.86383315,0.03929315,10.0,41.0,123.81,1.5,2.92,87649.37,13.24,86.19,0.56,57.1,61218.57,174857.66,37.78,4.24,0.0,-0.16,70.28,-0.02,-2.45,187.87,5.03
2020-04-30,0.89482344,36.20346305,15.77000212,835494975.0,35.86383315,0.03682214,10.0,41.0,123.81,1.5,2.92,87649.37,13.24,86.19,0.56,57.1,61218.57,174857.66,37.78,4.24,0.0,-0.16,70.28,-0.02,-2.45,187.87,13.48
2020-05-31,0.89482344,36.20346305,15.77000212,835494975.0,35.86383315,-0.0814926,10.0,41.0,123.81,1.5,2.92,87649.37,13.24,86.19,0.56,57.1,61218.57,174857.66,37.78,4.24,0.0,-0.16,70.28,-0.02,-2.45,187.87,10.21
