period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,263000.0,399900.0,195.80918383762844,238.27332838551263,6.0,6.0,10.0,11.0,1.8,40.0,0.9827017464401324,0.1666666666666666,0.2727272727272727,0.8333333333333333,0.0,0.0,MA,Chelmsford,Condo
2019-02-28,169000.0,369900.0,270.4,246.04922279792743,1.0,9.0,13.0,14.0,14.0,13.0,0.9947027663331371,0.0,0.1428571428571428,0.5555555555555555,0.0,0.3809362497737836,MA,Chelmsford,Condo
2019-03-31,217500.0,449000.0,211.76470588235293,236.77631578947367,7.0,8.0,7.0,12.0,1.7,36.0,0.9746584444828426,0.1428571428571428,0.0833333333333333,0.625,0.61,-0.21684650191437516,MA,Chelmsford,Condo
2019-04-30,241000.0,424950.0,200.0,244.20474745095137,7.0,11.0,9.0,10.0,1.4,27.0,0.9862846854388128,0.2857142857142857,0.1,0.3636363636363636,0.61,-0.05555555555555547,MA,Chelmsford,Condo
2019-05-31,291500.0,429900.0,212.86241574836845,241.7746759720837,10.0,14.0,13.0,8.0,0.8,11.0,1.0014465511127058,0.4,0.25,0.6428571428571429,0.61,0.0643120787418423,MA,Chelmsford,Condo
2019-06-30,280500.0,439900.0,234.2367256637168,245.9771585198721,7.0,10.0,15.0,12.0,1.7,6.0,0.9995121004218858,0.4285714285714285,,1.0,0.45,0.10041373363259964,MA,Chelmsford,Condo
2019-07-31,242000.0,420000.0,208.5660409949332,248.0701284946568,10.0,11.0,10.0,10.0,1.0,10.0,1.0248536665434218,0.5999999999999999,0.2,0.3636363636363636,0.45,-0.1095929111715721,MA,Chelmsford,Condo
2019-08-31,249000.0,425450.0,238.1322957198444,242.5460919878396,7.0,6.0,6.0,10.0,1.4,24.0,0.9971778288614724,0.2857142857142857,0.1,0.5,0.45,0.14175967757679908,MA,Chelmsford,Condo
2019-09-30,167000.0,409000.0,238.0952380952381,236.98275862068965,3.0,5.0,8.0,11.0,3.7,14.0,0.9941176470588236,0.0,0.1818181818181818,0.5999999999999999,0.14,-0.00015561780267669967,MA,Chelmsford,Condo
2019-10-31,312000.0,405625.0,229.82635342185904,235.4512029989189,9.0,7.0,9.0,12.0,1.3,18.0,0.999735522242172,0.2222222222222222,0.4166666666666666,0.1428571428571428,0.14,-0.03472931562819204,MA,Chelmsford,Condo
2019-11-30,474900.0,369900.0,290.44692737430165,245.6140350877193,16.0,9.0,6.0,9.0,0.5999999999999999,20.0,1.0037321496946434,0.375,0.2222222222222222,0.0,0.14,0.2637668528864059,MA,Chelmsford,Condo
2019-12-31,272500.0,369999.0,250.73806011432785,236.48745519713265,14.0,7.0,4.0,5.0,0.4,34.0,1.0004410722426682,0.4285714285714285,0.2,0.1428571428571428,0.07,-0.13671643084314888,MA,Chelmsford,Condo
2020-01-31,385102.5,443950.0,285.1566901983855,259.1522642692448,10.0,4.0,5.0,4.0,0.4,22.0,1.0235862700391427,0.6999999999999998,0.5,0.5,0.07,0.13726926844837184,MA,Chelmsford,Condo
2020-02-29,496075.0,399900.0,317.5177304964539,248.5295616717636,9.0,4.0,11.0,11.0,1.2,121.0,1.0163524781803484,0.8888888888888888,0.0909090909090909,0.5,0.3,0.11348511681614282,MA,Chelmsford,Condo
2020-03-31,212500.0,424950.0,243.06710721203143,253.34532530961104,6.0,8.0,7.0,10.0,1.7,17.0,1.0204437952730667,0.8333333333333333,,0.5,0.37,-0.23447705792056217,MA,Chelmsford,Condo
2020-04-30,300000.0,,253.6409709255801,,6.0,2.0,,7.0,1.2,15.0,0.997433333686252,0.3333333333333333,0.1428571428571428,0.5,1.42,0.04350182891807286,MA,Chelmsford,Condo
2020-05-31,272000.0,464450.0,238.29544594185344,246.43093723103408,4.0,,5.0,11.0,2.8,53.0,1.0029884493843304,0.5,,,3.06,-0.060500970831834255,MA,Chelmsford,Condo
2020-06-30,370000.0,424500.0,212.03438395415472,263.9887640449438,1.0,8.0,7.0,9.0,9.0,11.0,1.0002703433360367,1.0,,0.25,4.55,-0.11020379295921034,MA,Chelmsford,Condo
2020-07-31,300000.0,489899.5,253.62318840579707,263.94289175539177,5.0,7.0,7.0,8.0,1.6,29.0,0.984183748033524,0.2,0.125,0.5714285714285714,5.75,0.1961417939678809,MA,Chelmsford,Condo
2020-08-31,221176.0,419900.0,255.30376084860168,252.4460810099948,10.0,6.0,7.0,8.0,0.8,18.0,0.992767249915287,0.4,0.25,0.6666666666666666,4.85,0.006626257060201146,MA,Chelmsford,Condo
2020-09-30,275000.0,424900.0,263.78896882494007,250.89605734767025,5.0,5.0,6.0,7.0,1.4,15.0,0.9873793170712368,0.0,,0.5999999999999999,4.45,0.033235734358689095,MA,Chelmsford,Condo
2020-10-31,319450.0,404950.0,268.03810868031053,252.5133402797512,6.0,14.0,16.0,8.0,1.3,27.0,1.0012702553033093,0.1666666666666666,0.125,0.3571428571428571,3.71,0.016108102906267963,MA,Chelmsford,Condo
2020-11-30,173650.0,499000.0,240.54344035835948,247.23955832933268,8.0,7.0,9.0,10.0,1.3,15.0,0.9817844978336157,0.0,0.2999999999999999,0.2857142857142857,4.14,-0.10257745981465638,MA,Chelmsford,Condo
2020-12-31,187500.0,437450.0,225.8571428571429,250.94783661985548,11.0,11.0,9.0,7.0,0.5999999999999999,23.0,1.018862776832927,0.5454545454545454,,0.0909090909090909,4.67,-0.06105465806648924,MA,Chelmsford,Condo
2021-01-31,171000.0,449900.0,234.96503496503496,272.33115468409585,15.0,4.0,5.0,8.0,0.5,23.0,0.9877323909392176,0.2666666666666666,0.125,0.0,5.92,0.04032589801090736,MA,Chelmsford,Condo
2021-02-28,305600.0,429900.0,244.7869446962829,295.5818294959552,3.0,7.0,5.0,6.0,2.0,22.0,1.021992802251307,0.6666666666666666,0.3333333333333333,0.1428571428571428,6.09,0.04180158010620394,MA,Chelmsford,Condo
2021-03-31,253450.0,479900.0,251.9358000490076,289.85838282320697,8.0,8.0,7.0,5.0,0.5999999999999999,22.0,1.006625300917855,0.5,,0.25,6.51,0.0292043979779828,MA,Chelmsford,Condo
2021-04-30,223500.0,499900.0,295.03149390661366,291.3478516774573,8.0,4.0,6.0,7.0,0.9,22.0,1.0145308170267373,0.5,0.1428571428571428,0.25,5.84,0.1710582372541849,MA,Chelmsford,Condo
2021-05-31,288000.0,529900.0,293.17269076305223,278.85010266940446,5.0,5.0,7.0,8.0,1.6,19.0,1.0232196737489905,0.4,0.125,0.2,6.44,-0.006300354985660617,MA,Chelmsford,Condo
2021-06-30,220100.0,489900.0,271.00677637947723,276.5803475090226,5.0,7.0,8.0,9.0,1.8,21.0,1.0280520012742047,0.8,0.1111111111111111,0.5714285714285714,6.52,-0.07560702303438593,MA,Chelmsford,Condo
2021-07-31,224950.0,430450.0,277.3561667937364,286.2366839661295,8.0,7.0,14.0,16.0,2.0,8.0,1.0296958438725423,0.625,0.0625,0.2857142857142857,6.88,0.02342889908172796,MA,Chelmsford,Condo
2021-08-31,265000.0,489900.0,272.24446601873103,282.7137613126956,10.0,14.0,7.0,9.0,0.9,19.0,1.0329213962364174,0.5999999999999999,0.2222222222222222,0.5,7.06,-0.01843009598126888,MA,Chelmsford,Condo
2021-09-30,245000.0,459950.0,293.0232558139535,275.92762204992755,11.0,9.0,10.0,10.0,0.9,18.0,1.0199181906524053,0.4545454545454545,,0.2222222222222222,6.73,0.07632401164691749,MA,Chelmsford,Condo
2021-10-31,365750.0,537000.0,288.2737049546487,298.09581587435565,8.0,9.0,4.0,5.0,0.5999999999999999,15.0,1.0095651588772847,0.625,0.4,0.6666666666666666,6.87,-0.01620878467857989,MA,Chelmsford,Condo
2021-11-30,320000.0,472499.5,262.69535214126245,289.96692083426774,8.0,3.0,4.0,5.0,0.5999999999999999,16.0,1.0517059735397214,0.875,,0.3333333333333333,6.94,-0.08872939978139949,MA,Chelmsford,Condo
2021-12-31,308500.0,452500.0,273.72841444270017,278.4316340479445,4.0,6.0,3.0,2.0,0.5,18.0,1.0265259609696102,0.75,,0.6666666666666666,7.77,0.04199945759034507,MA,Chelmsford,Condo
2022-01-31,255000.0,559900.0,292.1762917933131,305.2006783493499,4.0,1.0,3.0,3.0,0.8,33.0,1.0430577383913386,1.0,,0.0,7.8,0.0673948204762449,MA,Chelmsford,Condo
2022-02-28,354500.0,544950.0,261.21679163195404,307.86258900214216,4.0,4.0,8.0,6.0,1.5,13.0,1.0551812405970278,0.5,,0.5,8.52,-0.10596171226397788,MA,Chelmsford,Condo
2022-03-31,302000.0,607500.0,277.64127764127767,323.60360387717424,3.0,8.0,5.0,3.0,1.0,11.0,1.0858987126705426,0.6666666666666666,,0.625,8.1,0.06287683845556602,MA,Chelmsford,Condo
2022-04-30,251000.0,575000.0,290.82051623499126,304.7592731748695,6.0,8.0,7.0,2.0,0.2999999999999999,10.0,1.0342593779558598,1.0,,0.5,10.09,0.04746858502337559,MA,Chelmsford,Condo
2022-05-31,290000.0,524900.0,306.56934306569343,321.0757409440176,9.0,7.0,11.0,6.0,0.6999999999999998,19.0,1.0517819875537262,0.7777777777777777,,0.8571428571428571,10.33,0.05415308051367562,MA,Chelmsford,Condo
2022-06-30,311500.0,575000.0,282.83125643926235,304.3478260869565,10.0,11.0,8.0,3.0,0.2999999999999999,8.0,1.013010021638321,0.6999999999999998,,0.6363636363636364,10.57,-0.07743137780526332,MA,Chelmsford,Condo
2022-07-31,435000.0,556500.0,363.77708978328167,304.161279896574,5.0,5.0,3.0,1.0,0.2,7.0,0.9913464334150331,0.5999999999999999,1.0,0.4,8.5,0.28619833028038166,MA,Chelmsford,Condo
2022-08-31,304700.0,559900.0,317.44073502839217,293.4817894918714,6.0,6.0,6.0,1.0,0.2,14.0,0.989871896713204,0.1666666666666666,1.0,0.5,8.44,-0.127375681581526,MA,Chelmsford,Condo
2022-09-30,352500.0,614900.0,271.7658632562715,303.83091149273446,4.0,3.0,4.0,2.0,0.5,5.0,1.0275925965175847,0.75,0.5,0.6666666666666666,8.45,-0.14388472156239018,MA,Chelmsford,Condo
2022-10-31,216000.0,519900.0,313.0434782608696,308.34542815674894,3.0,2.0,4.0,4.0,1.3,21.0,1.0451999313148637,1.0,0.75,1.0,10.52,0.15188668109384262,MA,Chelmsford,Condo
2022-11-30,585000.0,465000.0,335.18037049073774,304.5288912024987,2.0,4.0,5.0,5.0,2.5,13.0,1.032806667931929,0.5,0.4,0.0,11.68,0.07071507240096753,MA,Chelmsford,Condo
2022-12-31,310000.0,,277.77777777777777,,5.0,2.0,,3.0,0.5999999999999999,22.0,1.0012210636678067,0.5999999999999999,0.3333333333333333,0.0,12.4,-0.17125881396012788,MA,Chelmsford,Condo
2023-01-31,230000.0,502450.0,278.20710973724886,341.2307242333287,3.0,4.0,3.0,2.0,0.6999999999999998,35.0,0.9609338736750862,0.3333333333333333,,0.25,10.1,0.0015455950540959051,MA,Chelmsford,Condo
2023-02-28,385000.0,489450.0,285.21536670547147,304.0959918627301,3.0,2.0,5.0,5.0,1.7,55.0,1.0503480838207482,1.0,,0.5,9.2,0.025190790324666867,MA,Chelmsford,Condo
2023-03-31,439950.0,,293.4195714060515,,2.0,5.0,,,,14.0,1.0177514792899407,0.5,,1.0,8.85,0.028764946276727432,MA,Chelmsford,Condo
