period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,137500.0,154000.0,91.93548387096774,92.89505944985092,5.0,5.0,6.0,29.0,5.8,25.0,0.9557365978622904,0.2,0.2068965517241379,0.0,3.65,0.0,TX,El Paso,Townhouse
2019-02-28,253477.0,163200.0,134.39945559714187,93.5160332308828,3.0,5.0,4.0,26.0,8.699999999999998,217.0,0.9780752958056756,0.0,0.3076923076923077,0.2,4.03,0.4618888152671572,TX,El Paso,Townhouse
2019-03-31,113500.0,160000.0,80.15536723163842,92.76642738818332,3.0,1.0,5.0,27.0,9.0,22.0,0.9253248257771504,0.0,0.1851851851851851,0.0,3.12,-0.40360348280054337,TX,El Paso,Townhouse
2019-04-30,122250.0,175000.0,80.91146488506227,96.65294630791036,4.0,3.0,7.0,26.0,6.5,288.0,0.9645904032813316,0.0,0.2307692307692307,0.3333333333333333,3.54,0.009432901121129378,TX,El Paso,Townhouse
2019-05-31,120750.0,162000.0,81.85096153846153,94.4138473642801,4.0,6.0,8.0,27.0,6.8,47.0,0.9522253787878788,0.0,0.1481481481481481,0.1666666666666666,3.76,0.011611415696574534,TX,El Paso,Townhouse
2019-06-30,98075.0,160000.0,83.09057753770453,96.22753769812594,6.0,3.0,9.0,22.0,3.7,57.0,0.9687271033719824,0.1666666666666666,0.2272727272727272,0.3333333333333333,3.93,0.01514479458693363,TX,El Paso,Townhouse
2019-07-31,105000.0,164925.0,74.15254237288134,94.88450305423216,3.0,6.0,23.0,37.0,12.3,12.0,0.9322539657355698,0.0,0.081081081081081,0.8333333333333333,2.26,-0.10756978022889929,TX,El Paso,Townhouse
2019-08-31,167497.5,174900.0,89.12103627609581,99.80123717195956,8.0,6.0,5.0,33.0,4.1,161.0,0.9521427310274664,0.125,0.1212121212121212,0.0,4.15,0.20186083206620653,TX,El Paso,Townhouse
2019-09-30,102000.0,169450.0,79.61379790248024,98.46351628689872,4.0,3.0,5.0,31.0,7.8,126.0,0.9673863636363637,0.25,0.1290322580645161,0.6666666666666666,4.17,-0.1066778256949601,TX,El Paso,Townhouse
2019-10-31,101000.0,178950.0,82.62842646102558,100.14409221902017,6.0,2.0,5.0,33.0,5.5,72.0,0.9567341550706152,0.0,0.1515151515151515,0.0,3.72,0.03786565442133516,TX,El Paso,Townhouse
2019-11-30,185000.0,159999.0,74.57121551081282,95.36887316628456,5.0,2.0,5.0,32.0,6.4,250.0,0.940562590311577,0.0,0.1875,0.5,4.75,-0.09751136860887955,TX,El Paso,Townhouse
2019-12-31,169900.0,169900.0,78.93643539675945,98.31255362921152,5.0,8.0,4.0,22.0,4.4,80.0,1.004726181288524,0.4,0.0454545454545454,0.0,3.78,0.05853759867054431,TX,El Paso,Townhouse
2020-01-31,135950.0,165000.0,80.08094512563785,100.54878048780488,10.0,4.0,7.0,23.0,2.3,53.0,0.9709845387644204,0.1,0.0434782608695652,0.5,3.76,0.01449913114426482,TX,El Paso,Townhouse
2020-02-29,155000.0,178500.0,88.1840362495643,99.96437376725838,5.0,6.0,6.0,22.0,4.4,71.0,0.9696589476620328,0.0,0.0909090909090909,0.3333333333333333,4.55,0.10118625737013498,TX,El Paso,Townhouse
2020-03-31,223217.5,175000.0,121.48425971470732,100.06901311249138,4.0,6.0,8.0,23.0,5.8,176.0,0.9782608695652174,0.0,0.0869565217391304,0.6666666666666666,4.9,0.3776219016659894,TX,El Paso,Townhouse
2020-04-30,135000.0,178500.0,94.64374644280022,102.76595744680851,8.0,3.0,3.0,21.0,2.6,25.0,0.976111862891327,0.125,0.0952380952380952,0.3333333333333333,8.82,-0.2209381967255606,TX,El Paso,Townhouse
2020-05-31,184069.0,185000.0,114.8401775531873,103.1679866611088,4.0,6.0,7.0,18.0,4.5,27.0,0.9752729149511612,0.0,0.1666666666666666,0.3333333333333333,7.0,0.2133942481090727,TX,El Paso,Townhouse
2020-06-30,128500.0,177950.0,92.48319403358846,103.37506804572674,10.0,4.0,8.0,16.0,1.6,92.0,0.9739296403757228,0.2,0.1875,0.5,7.77,-0.19467910966303048,TX,El Paso,Townhouse
2020-07-31,105000.0,185000.0,77.05479452054793,104.62250712250712,5.0,7.0,11.0,13.0,2.6,32.0,0.9724552955604276,0.0,,0.5714285714285714,7.43,-0.1668238178218323,TX,El Paso,Townhouse
2020-08-31,89000.0,187137.5,92.9144385026738,106.28140703517587,5.0,11.0,11.0,13.0,2.6,81.0,0.9749304506118271,0.4,0.1538461538461538,0.4545454545454545,7.86,0.2058229352347003,TX,El Paso,Townhouse
2020-09-30,226935.0,180000.0,135.0,104.27818685774729,9.0,9.0,6.0,8.0,0.9,142.0,0.994886147535684,0.3333333333333333,0.125,0.3333333333333333,8.78,0.45294964028776974,TX,El Paso,Townhouse
2020-10-31,219000.0,197975.0,114.99436302142053,109.77314565463796,9.0,2.0,3.0,9.0,1.0,44.0,0.9728862193185616,0.2222222222222222,0.3333333333333333,0.5,6.98,-0.14818990354503314,TX,El Paso,Townhouse
