period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share,State,City,Property_Type
2019-01-31,0.91596096,37.55230621,7.89015551,243370020.0,1.87380599,0.09717571,8.0,37.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.83,CA,San Jose,Industrial
2019-02-28,0.92267534,37.55230621,7.89015551,243370020.0,1.87380599,0.09717571,8.0,38.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.98,CA,San Jose,Industrial
2019-03-31,0.92267534,37.55230621,7.89824463,243370020.0,1.86882689,0.09717571,8.0,38.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.38,CA,San Jose,Industrial
2019-04-30,0.92378978,37.55230621,7.89824463,243370020.0,1.86882689,0.0864672,8.0,38.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.59,CA,San Jose,Industrial
2019-05-31,0.92378978,37.55230621,7.89824463,243370020.0,1.86882689,0.0864672,8.0,38.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.94,CA,San Jose,Industrial
2019-06-30,0.92617197,37.55230621,7.89824463,243370020.0,1.86882689,0.05362084,8.0,38.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.23,CA,San Jose,Industrial
2019-07-31,0.92617197,37.55230621,7.89824463,243370020.0,1.86882689,0.05362084,8.0,38.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.35,CA,San Jose,Industrial
2019-08-31,0.92701034,37.65958742,8.36974653,355590924.0,2.41321128,0.08231675,5.0,34.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.64,CA,San Jose,Industrial
2019-09-30,0.92701034,37.65958742,8.36974653,355590924.0,2.41321128,0.08231675,5.0,34.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,4.48,CA,San Jose,Industrial
2019-10-31,0.92701041,37.65958742,8.36974653,355590924.0,2.41321128,0.08481501,5.0,34.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.85,CA,San Jose,Industrial
2019-11-30,0.92701041,37.65958742,8.36974653,355590924.0,2.41321128,0.08481501,5.0,34.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.64,CA,San Jose,Industrial
2019-12-31,0.92701041,37.65958742,8.36974653,355590924.0,2.41321128,0.08481501,5.0,34.0,129.68,3.31,2.99,130864.99,19.29,78.3,2.39,65.76,159944.75,366376.07,30.32,2.71,-0.31,-0.42,74.57,-0.29,4.81,-3.7,3.75,CA,San Jose,Industrial
2020-01-31,0.92701041,37.65958742,8.36974653,355590924.0,2.41321128,0.10788463,5.0,34.0,131.92,1.72,2.99,138200.09,19.07,78.54,2.38,64.72,168300.83,411819.47,30.81,2.73,-0.58,-0.68,74.95,-0.56,4.62,180.76,3.56,CA,San Jose,Industrial
2020-02-29,0.92720471,37.65958742,8.36974653,355590924.0,2.41321128,0.11317725,5.0,34.0,131.92,1.72,2.99,138200.09,19.07,78.54,2.38,64.72,168300.83,411819.47,30.81,2.73,-0.58,-0.68,74.95,-0.56,4.62,180.76,4.26,CA,San Jose,Industrial
