occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,period_begin,remote_work_share
0.88331995,35.18532988,14.10823765,175248806.0,3.2257148,-0.00373386,44.0,29.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-01-31,5.86
0.88201413,35.18532988,14.10823765,175248806.0,3.2257148,-0.00373386,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-02-28,5.72
0.88201413,35.18532988,14.12314795,175248806.0,3.23492662,-0.00373386,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-03-31,4.09
0.88201413,35.18532988,14.12314795,175248806.0,3.23492662,-0.00289287,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-04-30,4.98
0.88201413,35.18532988,14.12314795,175248806.0,3.23492662,-0.00289287,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-05-31,4.93
0.88201413,35.18532988,14.12314795,175248806.0,3.23492662,-0.00529582,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-06-30,5.39
0.88201413,35.18532988,14.12314795,175248806.0,3.23492662,-0.00529582,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-07-31,4.18
0.87505547,35.27737933,14.29473792,204154934.0,3.35373416,-0.01162744,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-08-31,4.3
0.87505547,35.27737933,14.29473792,204154934.0,3.35373416,-0.01162744,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-09-30,6.45
0.875,35.27737933,14.29473792,204154934.0,3.35373416,0.00231468,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-10-31,5.73
0.875,35.27737933,14.29473792,204154934.0,3.35373416,0.00231468,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-11-30,4.66
0.875,35.27737933,14.29473792,204154934.0,3.35373416,0.00231468,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,2019-12-31,4.33
0.87505343,35.27737933,14.29473792,204154934.0,3.35373416,0.00300401,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,2020-01-31,4.7
0.88925422,35.27737933,14.29473792,204154934.0,3.35373416,0.00300401,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,2020-02-29,5.96
0.88925422,35.27737933,14.29473792,204154934.0,3.35373416,0.00300401,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,2020-03-31,5.36
0.89410511,35.27737933,14.29473792,204154934.0,3.35373416,0.00356245,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,2020-04-30,8.43
0.89410511,35.27737933,14.29473792,204154934.0,3.35373416,-0.1623351,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,2020-05-31,7.97
0.89410511,35.27737933,14.29473792,204154934.0,3.35373416,-0.1623351,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,2020-06-30,8.08
