period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.0,0.0
2019-02-28,,,,,,,,,,,,,,,0.0,
2019-03-31,,,,,,,,,,,,,,,0.0,
2019-04-30,,,,,,,,,,,,,,,0.0,
2019-05-31,,,,,,,,,,,,,,,0.0,
2019-06-30,,,,,,,,,,,,,,,0.0,
2019-07-31,202450.0,,20.01964433416046,,2.0,,,,,,0.9605159252434852,0.0,,,0.0,
2019-08-31,,,,,,,,,,,,,,,0.0,0.0
2019-09-30,57000.0,112550.0,33.92857142857143,70.68057240007181,1.0,,1.0,1.0,1.0,,0.95,0.0,,,0.43,0.6947639459646899
2019-10-31,,,,,,,,,,,,,,,0.76,0.0
2019-11-30,10000.0,,6.161552442123094,,2.0,1.0,,,,52.0,0.7537688442211055,0.0,,0.0,1.54,-0.8183963490742667
2019-12-31,,,,,,,,,,,,,,,1.12,0.0
2020-01-31,,,,,,,,,,,,,,,0.87,0.0
2020-02-29,,,,,,,,,,,,,,,0.34,0.0
2020-03-31,,,,,,,,,,,,,,,1.45,0.0
2020-04-30,,,,,,,,,,,,,,,1.52,0.0
2020-05-31,,,,,,,,,,,,,,,1.5,0.0
2020-06-30,,,,,,,,,,,,,,,0.39,0.0
2020-07-31,58500.0,,16.35802233098807,,2.0,,,,,,0.7757272855034782,0.0,,,0.23,1.6548540298314114
2020-08-31,,,,,,,,,,,,,,,1.28,0.0
2020-09-30,,,,,,,,,,,,,,,1.95,0.0
2020-10-31,,,,,,,,,,,,,,,1.95,0.0
2020-11-30,,,,,,,,,,,,,,,1.62,0.0
2020-12-31,132500.0,,111.81434599156118,,1.0,,,,,,0.9724770642201837,0.0,,,0.94,5.835444024290391
2021-01-31,,,,,,,,,,,,,,,1.15,0.0
2021-02-28,,,,,,,,,,,,,,,0.56,0.0
2021-03-31,125888.5,,37.25207545660045,,2.0,,,,,,0.9200002035913514,0.0,,,1.45,-0.6668399289353092
2021-04-30,93250.0,,71.47182500252012,,2.0,,,,,,0.9351552814282172,0.0,,,1.75,0.9185998129362344
2021-05-31,,,,,,,,,,,,,,,1.79,0.0
2021-06-30,134300.0,,79.94047619047619,,3.0,,,,,,0.9454397520340952,0.0,,,2.19,0.1184893653919914
2021-07-31,,,,,,,,,,,,,,,3.88,0.0
2021-08-31,241000.0,,136.62131519274377,,1.0,,,,,,1.0041666666666669,1.0,,,4.3,0.7090380455979861
2021-09-30,215900.0,,143.93333333333334,,1.0,,,,,,0.9818099135970896,0.0,,,4.49,0.0535203319502075
2021-10-31,,,,,,,,,,,,,,,3.13,0.0
2021-11-30,81500.0,,58.21428571428572,,1.0,,,,,,1.0881174899866488,1.0,,,2.55,-0.5955468801693906
2021-12-31,,,,,,,,,,,,,,,1.19,0.0
2022-01-31,,,,,,,,,,,,,,,0.8,0.0
2022-02-28,40000.0,,15.203344735841885,,1.0,1.0,,,,56.0,0.7285974499089252,0.0,,0.0,1.42,-0.7388382499364585
2022-03-31,,,,,,,,,,,,,,,1.88,0.0
2022-04-30,,,,,,,,,,,,,,,2.27,0.0
2022-05-31,,,,,,,,,,,,,,,2.21,0.0
2022-06-30,,,,,,,,,,,,,,,1.63,0.0
2022-07-31,,,,,,,,,,,,,,,1.05,0.0
2022-08-31,,,,,,,,,,,,,,,0.97,0.0
2022-09-30,,,,,,,,,,,,,,,1.51,0.0
2022-10-31,,,,,,,,,,,,,,,2.31,0.0
2022-11-30,,,,,,,,,,,,,,,2.42,0.0
2022-12-31,,,,,,,,,,,,,,,3.13,0.0
2023-01-31,,,,,,,,,,,,,,,2.69,0.0
2023-02-28,,,,,,,,,,,,,,,2.62,0.0
2023-03-31,225000.0,254200.0,98.46827133479214,125.33817222038932,1.0,,1.0,2.0,2.0,3.0,1.000498025683896,1.0,,,2.21,5.4767505470459525
2023-04-30,75000.0,259950.0,47.16981132075472,128.40774397471355,1.0,,1.0,3.0,3.0,190.0,0.8833922261484098,0.0,0.3333333333333333,,2.66,-0.5209643605870021
2023-05-31,76000.0,219500.0,59.607843137254896,118.01242236024844,1.0,1.0,2.0,4.0,4.0,65.0,0.9500118751484392,0.0,,0.0,2.59,0.2636862745098038
2023-06-30,50000.0,,24.271844660194176,,1.0,2.0,,2.0,2.0,8.0,0.8857395925597874,0.0,0.5,0.5,2.46,-0.5928078691875318
2023-07-31,25500.0,,11.3031914893617,,1.0,1.0,,,,46.0,1.0,0.0,,0.0,2.71,-0.534308510638298
2023-08-31,,,,,,,,,,,,,,,,
2023-09-30,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
