period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.48,0.0
2019-02-28,,,,,,,,,,,,,,,0.81,
2019-03-31,,,,,,,,,,,,,,,1.39,
2019-04-30,1209000.0,564500.0,528.4254974091215,648.8221272820656,2.0,1.0,1.0,,,89.0,1.1596107779038562,0.5,,1.0,1.3,
2019-05-31,,,,,,,,,,,,,,,1.48,0.0
2019-06-30,,,,,,,,,,,,,,,1.2,0.0
2019-07-31,,,,,,,,,,,,,,,1.18,0.0
2019-08-31,1089233.0,586500.0,423.3319082782744,695.3215492545521,1.0,1.0,1.0,,,13.0,1.1003598386888214,1.0,,1.0,0.93,-0.198880617317148
2019-09-30,,,,,,,,,,,,,,,1.05,0.0
2019-10-31,,,,,,,,,,,,,,,1.29,0.0
2019-11-30,850000.0,,482.95454545454544,,1.0,,,,,6.0,0.9659090909090908,0.0,,,1.65,0.1408413493297993
2019-12-31,1250000.0,548000.0,594.6717411988583,595.9937881333451,1.0,1.0,1.0,,,8.0,1.256281407035176,1.0,,1.0,1.42,0.2313203111882242
2020-01-31,,,,,,,,,,,,,,,1.52,0.0
2020-02-29,,,,,,,,,,,,,,,1.55,0.0
2020-03-31,,,,,,,,,,,,,,,2.27,0.0
2020-04-30,,,,,,,,,,,,,,,3.43,0.0
2020-05-31,,,,,,,,,,,,,,,5.23,0.0
2020-06-30,,,,,,,,,,,,,,,6.91,0.0
2020-07-31,1105000.0,,698.4829329962073,,1.0,,,,,14.0,1.1105527638190955,1.0,,,7.16,0.1745689001264221
2020-08-31,,,,,,,,,,,,,,,7.21,0.0
2020-09-30,,,,,,,,,,,,,,,7.28,0.0
2020-10-31,,,,,,,,,,,,,,,6.92,0.0
2020-11-30,,,,,,,,,,,,,,,8.18,0.0
2020-12-31,,,,,,,,,,,,,,,7.69,0.0
2021-01-31,,,,,,,,,,,,,,,7.42,0.0
2021-02-28,,,,,,,,,,,,,,,7.72,0.0
2021-03-31,,,,,,,,,,,,,,,9.5,0.0
2021-04-30,,,,,,,,,,,,,,,11.41,0.0
2021-05-31,,,,,,,,,,,,,,,11.12,0.0
2021-06-30,,,,,,,,,,,,,,,10.22,0.0
2021-07-31,,,,,,,,,,,,,,,11.48,0.0
2021-08-31,,,,,,,,,,,,,,,11.79,0.0
2021-09-30,1301500.0,,406.71875,,1.0,1.0,,,,16.0,1.3028028028028027,1.0,,1.0,13.15,-0.4177112556561085
2021-10-31,775000.0,645000.0,440.34090909090907,639.300134589502,1.0,,1.0,1.0,1.0,15.0,0.9699624530663328,0.0,,,12.41,0.0826668529319316
2021-11-30,,,,,,,,,,,,,,,12.89,0.0
2021-12-31,1500000.0,,765.5851257746992,,3.0,1.0,,,,17.0,1.080448335322987,0.6666666666666666,,0.0,13.67,0.7386191243399622
2022-01-31,,,,,,,,,,,,,,,15.37,0.0
2022-02-28,,,,,,,,,,,,,,,16.26,0.0
2022-03-31,,,,,,,,,,,,,,,15.91,0.0
2022-04-30,1155000.0,,619.3029490616622,,1.0,,,1.0,1.0,4.0,1.3139931740614337,1.0,,,14.29,-0.1910723860589812
2022-05-31,,,,,,,,,,,,,,,14.76,0.0
2022-06-30,,,,,,,,,,,,,,,13.66,0.0
2022-07-31,,,,,,,,,,,,,,,14.08,0.0
2022-08-31,,,,,,,,,,,,,,,13.76,0.0
2022-09-30,,,,,,,,,,,,,,,15.29,0.0
2022-10-31,1360000.0,539000.0,602.8368794326241,668.0731364275669,1.0,,1.0,2.0,2.0,12.0,1.3807106598984773,1.0,,,16.21,-0.0265880691412606
2022-11-30,825000.0,,396.2536023054755,,1.0,1.0,,,,19.0,1.032540675844806,1.0,,0.0,15.22,-0.3426852008815053
2022-12-31,,,,,,,,,,,,,,,14.5,0.0
2023-01-31,,,,,,,,,,,,,,,12.92,0.0
2023-02-28,,,,,,,,,,,,,,,14.09,0.0
2023-03-31,,,,,,,,,,,,,,,13.54,0.0
2023-04-30,,,,,,,,,,,,,,,14.29,0.0
2023-05-31,,,,,,,,,,,,,,,12.74,0.0
2023-06-30,,,,,,,,,,,,,,,12.43,0.0
2023-07-31,,,,,,,,,,,,,,,11.79,0.0
2023-08-31,,,,,,,,,,,,,,,11.96,0.0
2023-09-30,,,,,,,,,,,,,,,12.66,0.0
2023-10-31,,,,,,,,,,,,,,,10.046147947311404,-0.014161008372443997
2023-11-30,,,,,,,,,,,,,,,13.8611642575264,-0.2975507810653573
2023-12-31,,,,,,,,,,,,,,,14.079304876327518,-0.21959220351846812
2024-01-31,,,,,,,,,,,,,,,10.899512625932696,-0.23694055434871678
2024-02-29,,,,,,,,,,,,,,,12.305845516920092,-0.21950642926617828
2024-03-31,,,,,,,,,,,,,,,12.086435140371325,0.011426736493252506
2024-04-30,,,,,,,,,,,,,,,10.971767485141756,-0.027309246669613825
2024-05-31,,,,,,,,,,,,,,,10.581547415256502,-0.01723823290366983
2024-06-30,,,,,,,,,,,,,,,10.576722335815433,0.005803543305971648
2024-07-31,,,,,,,,,,,,,,,7.547975764274598,-0.26596035483792607
2024-08-31,,,,,,,,,,,,,,,9.165097846984866,-0.20438459055573444
2024-09-30,,,,,,,,,,,,,,,8.065750994682313,0.0005168305523420467
2024-10-31,,,,,,,,,,,,,,,8.836692405939104,-0.25154054512729035
2024-11-30,,,,,,,,,,,,,,,10.25708104491234,0.10417099969957663
2024-12-31,,,,,,,,,,,,,,,11.37623329639435,-0.010910615654092234
2025-01-31,,,,,,,,,,,,,,,9.119653687477113,0.034546774385075675
2025-02-28,,,,,,,,,,,,,,,9.90888243198395,0.0752827208792561
2025-03-31,,,,,,,,,,,,,,,13.039567036628725,-0.14700232223111348
2025-04-30,,,,,,,,,,,,,,,9.362704131603243,-0.24949292177551954
2025-05-31,,,,,,,,,,,,,,,8.128837262392047,-0.17386227604489515
2025-06-30,,,,,,,,,,,,,,,9.035794183015826,-0.1451940845135457
2025-07-31,,,,,,,,,,,,,,,6.641625505685807,-0.21371203218762544
2025-08-31,,,,,,,,,,,,,,,8.932910885810854,-0.002176598138083495
2025-09-30,,,,,,,,,,,,,,,5.541724192500115,0.027098715888129853
2025-10-31,,,,,,,,,,,,,,,7.481415063142777,0.07245899389718415
2025-11-30,,,,,,,,,,,,,,,9.8925307738781,-0.18362878949214367
2025-12-31,,,,,,,,,,,,,,,9.62095780849457,-0.26089951887683716
